n11,Q11,Efficiency
65,0.7419,0.54087
70,0.7529,0.56784
80,0.7749,0.61536
90,0.7969,0.65472
100,0.8189,0.6864
110,0.8409,0.71088
120,0.8629,0.72864
130,0.8849,0.74016
140,0.9069,0.74592
150,0.9289,0.7464
160,0.9509,0.74208
170,0.9729,0.73344
180,0.9949,0.72096
190,1.0169,0.70512
200,1.0389,0.6864
65,1.1566,0.6060975
70,1.1781,0.63595
80,1.2211,0.6888
90,1.2641,0.73251
100,1.3071,0.76708
110,1.3501,0.79251
120,1.3931,0.8088
130,1.4361,0.81595
140,1.4791,0.81396
150,1.5221,0.80283
160,1.5651,0.78256
170,1.6081,0.75315
180,1.6511,0.7146
190,1.6941,0.66691
200,1.7371,0.61008
65,1.6027,0.60817525
70,1.6307,0.639821
80,1.6867,0.691156
90,1.7427,0.726549
100,1.7987,0.746
110,1.8547,0.749509
120,1.9107,0.737076
130,1.9667,0.708701
140,2.0227,0.664384
150,2.0787,0.604125
160,2.1347,0.527924
170,2.1907,0.435781
180,2.2467,0.327696
190,2.3027,0.203669
200,2.3587,0.0637
