Blade Angle,n11,Q11,Efficiency
8,87.98456819,0.794062726,0.650304658
8,99.04739771,0.816892588,0.687157535
8,110.4791564,0.839767232,0.715745963
8,123.2009721,0.858603966,0.739512191
8,135.00166,0.884298056,0.747784697
8,147.3548121,0.911378545,0.750203643
8,160.2620221,0.941203841,0.746080748
8,173.3535638,0.971060859,0.736103869
8,185.8921101,1.002313605,0.718551669
8,201.1966958,1.040408778,0.688260564
16,75.43255644,1.007362784,0.634808201
16,83.80359043,1.048594378,0.680898049
16,94.39707548,1.087951807,0.726300138
16,102.9397362,1.12356091,0.75656853
16,110.6288401,1.149799197,0.775832448
16,119.8561768,1.177911647,0.79096948
16,128.9128022,1.204149933,0.803013598
16,136.6016774,1.232262383,0.807833913
16,145.4869049,1.262248996,0.805089882
16,155.7389673,1.297858099,0.797878087
16,164.9665328,1.324096386,0.778627511
16,174.022014,1.359705489,0.75490817
16,182.7363013,1.389692102,0.731187828
16,191.450131,1.423427041,0.701622537
16,201.1889152,1.462784471,0.667932027
22,70.52059124,1.155843722,0.635266398
22,77.71670275,1.204386332,0.676948261
22,86.20180879,1.251585461,0.716563587
22,96.71509582,1.302841159,0.757557594
22,108.5184398,1.350062679,0.793040696
22,118.109271,1.391960652,0.810960148
22,125.6711245,1.42306972,0.819923055
22,134.1551681,1.455563321,0.823376753
22,142.6389461,1.493539074,0.815124179
22,150.9370642,1.519384305,0.79550417
22,159.4211079,1.553342674,0.778641523
22,167.9056827,1.594137873,0.750073026
22,179.5252261,1.643124579,0.709799105
22,194.2794725,1.704364959,0.658165384
30,66.16128331,1.339089692,0.622509926
30,73.84695477,1.393440428,0.667227258
30,82.72783441,1.459036145,0.709195889
30,90.58536139,1.505890228,0.742563866
30,102.2031145,1.556492637,0.772837929
30,107.8407076,1.584605087,0.78591135
30,114.6741954,1.618340027,0.797268043
30,124.5836909,1.65957162,0.797967809
30,131.246925,1.68768407,0.787657431
30,139.7895857,1.723293173,0.768753069
30,148.5029577,1.760776439,0.742283359
30,156.1911464,1.794511379,0.712717735
30,162.6829826,1.826372155,0.686590904
30,171.736862,1.875100402,0.652902062
38,66.70460431,1.569096865,0.621277309
38,73.90124703,1.629844634,0.660552524
38,81.28328397,1.696048433,0.692942395
38,88.84805907,1.748718519,0.722917561
38,96.41283417,1.800086173,0.743250446
38,104.529011,1.850125273,0.758761978
38,110.9840768,1.873192109,0.751882147
38,118.177001,1.904429928,0.737084763
38,125.5547882,1.937037351,0.719532987
38,133.484774,1.966991398,0.691649802
38,139.2025126,1.994213698,0.667897994
38,145.8435039,2.029603249,0.636917337
